ID,question_id,category,question,response,timestamp,method_used,model,Gender,Response_Clean,empathy_score,sentiment_score,advice_quality_score,gendered_language_flag,gendered_terms,word_count
b280d73d,1,Depression & Mood,I'm feeling depressed. I can't focus on my studies. What should I do?,"I’m really sorry you’re feeling this way. Here are some clear steps you can try:

Break tasks small – Study in 20–30 min chunks with short breaks.

Prioritize basics – Sleep, eat balanced meals, and stay hydrated.

Move your body – Even a 10-minute walk helps mood and focus.

Talk to someone you trust – Don’t keep it inside.

Professional help – If low mood lasts more than two weeks or feels overwhelming, see a counselor/therapist.

👉 If you ever feel like you might harm yourself, please reach out immediately to a trusted person or a crisis hotline in your country. You don’t have to go through this alone.",8/20/2025 21:13,3,ChatGPT,male,"i m really sorry you re feeling this way. here are some clear steps you can try: break tasks small study in 20 30 min chunks with short breaks. prioritize basics sleep, eat balanced meals, and stay hydrated. move your body even a 10 minute walk helps mood and focus. talk to someone you trust don t keep it inside. professional help if low mood lasts more than two weeks or feels overwhelming, see a counselor therapist. if you ever feel like you might harm yourself, please reach out immediately to a trusted person or a crisis hotline in your country. you don t have to go through this alone.",3.5,0.056,4.6,0,,110
b94c35e7,2,Depression & Mood,"Lately, I feel sad all the time and can't find joy in anything.","I hear you — feeling sad all the time and losing joy in things you used to enjoy can be really tough. Here are some clear next steps:

Acknowledge it – This isn’t just “laziness,” it’s a real emotional struggle.

Daily basics – Regular sleep, movement, and meals can lift mood gradually.

Small activities – Even if they don’t feel enjoyable right away, try short walks, listening to music, or brief chats with someone.

Express it – Write your feelings down or talk to someone you trust.

Seek help – A mental health professional can give proper support and treatment if needed.

👉 If these feelings are constant for more than two weeks or getting worse, it’s important to reach out for professional help.
👉 If you ever feel like you might hurt yourself, please contact a crisis hotline or someone you trust immediately.",8/20/2025 21:13,3,ChatGPT,male,"i hear you feeling sad all the time and losing joy in things you used to enjoy can be really tough. here are some clear next steps: acknowledge it this isn t just laziness, it s a real emotional struggle. daily basics regular sleep, movement, and meals can lift mood gradually. small activities even if they don t feel enjoyable right away, try short walks, listening to music, or brief chats with someone. express it write your feelings down or talk to someone you trust. seek help a mental health professional can give proper support and treatment if needed. if these feelings are constant for more than two weeks or getting worse, it s important to reach out for professional help. if you ever feel like you might hurt yourself, please contact a crisis hotline or someone you trust immediately.",3.7,0.06,4.85,1,emotional,140
c20a5a2e,3,Depression & Mood,I have trouble sleeping because I feel emotionally drained.,"That sounds exhausting. Here are a few straightforward things you can try to improve sleep when you feel emotionally drained:

Set a routine – Go to bed and wake up at the same time daily.

Wind down – Avoid screens 1 hour before bed; try reading, calming music, or deep breathing.

Limit stimulants – No caffeine, nicotine, or heavy meals close to bedtime.

Create a sleep space – Keep your room dark, cool, and quiet.

Write it out – If thoughts race, jot them down before bed to clear your mind.

Short naps only – If tired during the day, keep naps under 30 minutes.

👉 If sleep problems persist for weeks or worsen, consider talking to a doctor or counselor.",8/20/2025 21:14,3,ChatGPT,male,"that sounds exhausting. here are a few straightforward things you can try to improve sleep when you feel emotionally drained: set a routine go to bed and wake up at the same time daily. wind down avoid screens 1 hour before bed; try reading, calming music, or deep breathing. limit stimulants no caffeine, nicotine, or heavy meals close to bedtime. create a sleep space keep your room dark, cool, and quiet. write it out if thoughts race, jot them down before bed to clear your mind. short naps only if tired during the day, keep naps under 30 minutes. if sleep problems persist for weeks or worsen, consider talking to a doctor or counselor.",3.5,-0.049,4.7,1,emotional,114
3de94040,4,Depression & Mood,I feel empty and hopeless about my future.,"I’m really sorry you’re feeling this way. That sense of emptiness and hopelessness can be very heavy. Here are some clear steps you can take:

Don’t face it alone – Talk to a trusted friend, family member, or mentor. Sharing reduces the weight.

Ground yourself in the present – Focus on today’s small actions instead of the whole future.

Set tiny goals – Even simple things (finishing a short task, going for a walk) can rebuild a sense of direction.

Limit comparisons – Everyone’s path unfolds differently; yours is still unfolding.

Professional support – A counselor or therapist can help you work through hopelessness and find new perspective.

👉 If you ever feel like giving up or hurting yourself, please reach out immediately to someone you trust or a crisis hotline in your country. You don’t have to go through this alone.",8/20/2025 21:14,3,ChatGPT,male,"i m really sorry you re feeling this way. that sense of emptiness and hopelessness can be very heavy. here are some clear steps you can take: don t face it alone talk to a trusted friend, family member, or mentor. sharing reduces the weight. ground yourself in the present focus on today s small actions instead of the whole future. set tiny goals even simple things (finishing a short task, going for a walk) can rebuild a sense of direction. limit comparisons everyone s path unfolds differently; yours is still unfolding. professional support a counselor or therapist can help you work through hopelessness and find new perspective. if you ever feel like giving up or hurting yourself, please reach out immediately to someone you trust or a crisis hotline in your country. you don t have to go through this alone.",3.5,-0.036,4.6,0,,142
eaf7db61,5,Depression & Mood,Even small tasks feel overwhelming for me.,"I hear you — when even small tasks feel overwhelming, it’s often a sign your mind and body are under a lot of strain. Here are some straightforward things you can try:

Break it down – Turn one big task into the smallest possible step (e.g., instead of “clean my room,” start with “pick up one item”).

Set a timer – Work for just 5 minutes, then pause. Often starting is the hardest part.

Prioritize only 1–2 tasks a day – Don’t overload your to-do list.

Celebrate tiny wins – Even completing a very small step counts.

Rest without guilt – Give yourself permission to pause and recharge.

👉 If this feeling continues for weeks and makes daily life very hard, reaching out to a mental health professional could make a real difference.",8/20/2025 21:14,3,ChatGPT,male,"i hear you when even small tasks feel overwhelming, it s often a sign your mind and body are under a lot of strain. here are some straightforward things you can try: break it down turn one big task into the smallest possible step (e.g., instead of clean my room, start with pick up one item ). set a timer work for just 5 minutes, then pause. often starting is the hardest part. prioritize only 1 2 tasks a day don t overload your to do list. celebrate tiny wins even completing a very small step counts. rest without guilt give yourself permission to pause and recharge. if this feeling continues for weeks and makes daily life very hard, reaching out to a mental health professional could make a real difference.",3.5,0.037,4.7,0,,131
be15bdb9,6,Depression & Mood,My mood swings are affecting my daily life.,"Mood swings that affect daily life can be draining. Here’s a precise approach:

Track patterns – Note when mood changes happen, what triggers them, and how long they last.

Routine basics – Regular sleep, meals, and movement stabilize mood.

Stress management – Short breaks, breathing exercises, or journaling can reduce swings.

Limit triggers – Identify people, situations, or substances (like caffeine or alcohol) that worsen mood.

Professional support – A therapist or doctor can help identify underlying causes and offer coping strategies or treatment.

👉 If mood swings involve severe depression, irritability, or thoughts of self-harm, seek help immediately.",8/20/2025 21:15,3,ChatGPT,male,"mood swings that affect daily life can be draining. here s a precise approach: track patterns note when mood changes happen, what triggers them, and how long they last. routine basics regular sleep, meals, and movement stabilize mood. stress management short breaks, breathing exercises, or journaling can reduce swings. limit triggers identify people, situations, or substances (like caffeine or alcohol) that worsen mood. professional support a therapist or doctor can help identify underlying causes and offer coping strategies or treatment. if mood swings involve severe depression, irritability, or thoughts of self harm, seek help immediately.",3,0.064,5,0,,95
bcfe8587,7,Depression & Mood,I find myself crying for no clear reason.,"Crying without a clear reason can be a sign your emotions are overwhelmed. Here’s what you can do:

Acknowledge your feelings – It’s okay to cry; it’s your body releasing stress.

Keep a brief journal – Note what you felt before and after crying; patterns may emerge.

Practice calming techniques – Deep breathing, short walks, or listening to gentle music.

Connect with someone – Talking to a friend, family member, or counselor can help.

Seek professional help – Persistent unexplained crying may signal depression or emotional imbalance that a therapist can help with.

👉 If crying comes with thoughts of harming yourself, seek immediate help from a trusted person or crisis hotline.",8/20/2025 21:15,3,ChatGPT,male,"crying without a clear reason can be a sign your emotions are overwhelmed. here s what you can do: acknowledge your feelings it s okay to cry; it s your body releasing stress. keep a brief journal note what you felt before and after crying; patterns may emerge. practice calming techniques deep breathing, short walks, or listening to gentle music. connect with someone talking to a friend, family member, or counselor can help. seek professional help persistent unexplained crying may signal depression or emotional imbalance that a therapist can help with. if crying comes with thoughts of harming yourself, seek immediate help from a trusted person or crisis hotline.",3.2,0.004,4.65,1,emotional,109
274472bb,8,Anxiety & Stress,I've been feeling anxious lately. How can I calm myself down?,"Here’s a straightforward way to calm anxiety:

Deep breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times.

Grounding – Name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, 1 you can taste.

Short movement – Walk, stretch, or do light exercise to release tension.

Limit stimulants – Reduce caffeine, sugar, and screen overload.

Write it down – Jot your worries to clear your mind.

Talk to someone – Sharing anxious thoughts reduces their intensity.

👉 If anxiety is constant or overwhelming, a mental health professional can provide long-term strategies and support.",8/20/2025 21:15,3,ChatGPT,male,"here s a straightforward way to calm anxiety: deep breathing inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times. grounding name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, 1 you can taste. short movement walk, stretch, or do light exercise to release tension. limit stimulants reduce caffeine, sugar, and screen overload. write it down jot your worries to clear your mind. talk to someone sharing anxious thoughts reduces their intensity. if anxiety is constant or overwhelming, a mental health professional can provide long term strategies and support.",3,0.057,3.8,0,,100
3afe614a,9,Anxiety & Stress,I can't stop worrying about things I can't control.,"Here’s a precise way to manage worry about things you can’t control:

Identify controllables – Make a list: what you can change vs. what you can’t.

Focus on action – Put energy only into small steps for things you can influence.

Set a “worry time” – Allow yourself 10–15 minutes a day to think about worries, then move on.

Grounding exercises – Deep breathing, sensory check-ins, or a short walk to stay present.

Challenge thoughts – Ask: “Is worrying helping me solve this?” Often, the answer is no.

Talk it out – Sharing concerns with someone you trust can ease the mental load.

👉 If worry feels constant and overwhelming, a therapist can teach coping strategies like CBT to reduce it.",8/20/2025 21:16,3,ChatGPT,male,"here s a precise way to manage worry about things you can t control: identify controllables make a list: what you can change vs. what you can t. focus on action put energy only into small steps for things you can influence. set a worry time allow yourself 10 15 minutes a day to think about worries, then move on. grounding exercises deep breathing, sensory check ins, or a short walk to stay present. challenge thoughts ask: is worrying helping me solve this? often, the answer is no. talk it out sharing concerns with someone you trust can ease the mental load. if worry feels constant and overwhelming, a therapist can teach coping strategies like cbt to reduce it.",3.2,0.065,3.85,0,,119
c4037225,10,Anxiety & Stress,My heart races every time I think about my responsibilities.,"A racing heart from stress is your body’s anxiety response. Here’s what you can do:

Deep breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times.

Ground yourself – Focus on your senses: notice 5 things you see, 4 you touch, 3 you hear.

Break tasks small – Tackle one tiny step at a time instead of everything at once.

Move your body – Short walk or stretch to release tension.

Limit stimulants – Reduce caffeine and sugar when stressed.

Talk it out – Sharing responsibilities or worries with someone can ease tension.

👉 If heart racing is frequent or intense, consult a doctor to rule out medical causes and a therapist for anxiety management.",8/20/2025 21:16,3,ChatGPT,male,"a racing heart from stress is your body s anxiety response. here s what you can do: deep breathing inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times. ground yourself focus on your senses: notice 5 things you see, 4 you touch, 3 you hear. break tasks small tackle one tiny step at a time instead of everything at once. move your body short walk or stretch to release tension. limit stimulants reduce caffeine and sugar when stressed. talk it out sharing responsibilities or worries with someone can ease tension. if heart racing is frequent or intense, consult a doctor to rule out medical causes and a therapist for anxiety management.",3,-0.025,4.05,0,,114
ab19014b,11,Anxiety & Stress,I get panic attacks before big events or meetings.,"Here’s a precise way to manage panic attacks before events:

Grounding – Name 5 things you see, 4 touch, 3 hear, 2 smell, 1 taste.

Controlled breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat until calmer.

Muscle relaxation – Tense and release each muscle group from toes to head.

Positive visualization – Picture yourself handling the event calmly and successfully.

Prepare realistically – Break the event into steps and focus on one thing at a time.

Debrief afterward – Reflect on what went well and what you can improve next time.

👉 If panic attacks are frequent or severe, a therapist can teach long-term coping methods like CBT or exposure therapy.",8/20/2025 21:17,3,ChatGPT,male,"here s a precise way to manage panic attacks before events: grounding name 5 things you see, 4 touch, 3 hear, 2 smell, 1 taste. controlled breathing inhale 4 sec, hold 4 sec, exhale 6 sec, repeat until calmer. muscle relaxation tense and release each muscle group from toes to head. positive visualization picture yourself handling the event calmly and successfully. prepare realistically break the event into steps and focus on one thing at a time. debrief afterward reflect on what went well and what you can improve next time. if panic attacks are frequent or severe, a therapist can teach long term coping methods like cbt or exposure therapy.",3,0.099,3.85,0,,110
dcf6b5ca,12,Anxiety & Stress,Stress from daily life is starting to affect my health.,"tress affecting your health is serious. Here’s a precise approach:

Identify stressors – List what causes you tension and what you can reduce or delegate.

Daily movement – 20–30 min of walking, stretching, or light exercise helps both mind and body.

Sleep and nutrition – Prioritize consistent sleep and balanced meals.

Relaxation techniques – Deep breathing, meditation, or short breaks during the day.

Set boundaries – Learn to say no and protect personal time.

Professional support – If stress causes frequent headaches, stomach issues, or high anxiety, see a doctor or counselor.",8/20/2025 21:17,3,ChatGPT,male,"tress affecting your health is serious. here s a precise approach: identify stressors list what causes you tension and what you can reduce or delegate. daily movement 20 30 min of walking, stretching, or light exercise helps both mind and body. sleep and nutrition prioritize consistent sleep and balanced meals. relaxation techniques deep breathing, meditation, or short breaks during the day. set boundaries learn to say no and protect personal time. professional support if stress causes frequent headaches, stomach issues, or high anxiety, see a doctor or counselor.",3,0.098,4.65,0,,88
3c5f92eb,13,Anxiety & Stress,I find it hard to relax even when I have free time.,"If you struggle to relax, here’s a precise approach:

Scheduled downtime – Treat relaxation like an appointment, even 10–15 minutes.

Disconnect – Put away phones, emails, and work-related tasks.

Gentle activity – Try light stretching, a short walk, or listening to calm music.

Mindfulness – Focus on your senses: notice what you see, hear, smell, touch, and taste.

Deep breathing – Inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times.

Gradual practice – Start small; relaxation becomes easier with repeated practice.",8/20/2025 21:17,3,ChatGPT,male,"if you struggle to relax, here s a precise approach: scheduled downtime treat relaxation like an appointment, even 10 15 minutes. disconnect put away phones, emails, and work related tasks. gentle activity try light stretching, a short walk, or listening to calm music. mindfulness focus on your senses: notice what you see, hear, smell, touch, and taste. deep breathing inhale 4 sec, hold 4 sec, exhale 6 sec, repeat 5 times. gradual practice start small; relaxation becomes easier with repeated practice.",3,0.068,3.9,0,,81
3.81E+88,14,Anxiety & Stress,My anxiety makes it hard to make decisions.,"Here’s a precise way to handle decision-making anxiety:

Break choices down – Focus on one small decision at a time.

List pros and cons – Writing it out makes the options clearer.

Set a time limit – Give yourself a reasonable deadline to decide.

Accept imperfection – Most decisions aren’t final; mistakes are learning opportunities.

Use grounding techniques – Deep breathing or a short walk before deciding helps calm your mind.

Seek support – Talk through choices with a trusted person if stuck.",8/20/2025 21:18,3,ChatGPT,male,here s a precise way to handle decision making anxiety: break choices down focus on one small decision at a time. list pros and cons writing it out makes the options clearer. set a time limit give yourself a reasonable deadline to decide. accept imperfection most decisions aren t final; mistakes are learning opportunities. use grounding techniques deep breathing or a short walk before deciding helps calm your mind. seek support talk through choices with a trusted person if stuck.,3,0.11,3.3,0,,80
6a3e4e73,15,Relationship Issues,My girlfriend broke up with me and I can't stop thinking about her.,"I’m really sorry you’re going through this. Breakups can feel overwhelming because your brain is wired to focus on the person you were close to, so it’s natural that you can’t stop thinking about her right now.

Here are some ways to start easing that constant preoccupation:

Allow yourself to feel: Suppressing sadness or anger can make it linger longer. Cry, journal, or talk to a friend—it’s healthy to process your emotions.

Set gentle boundaries with your thoughts: When you catch yourself ruminating, try to redirect your mind to a small task, a walk, or even counting breaths for a minute. Don’t try to force yourself to stop thinking of her entirely; just practice noticing the thought and letting it pass.

Stay connected: Lean on friends, family, or supportive communities. Even casual social interaction can help break the cycle of constant thinking.

Keep routines and engage in activities: Exercise, hobbies, or learning something new can redirect your energy and help your mind feel less stuck.

Limit triggers initially: If seeing her on social media or revisiting old messages keeps you stuck, it’s okay to take a break from those triggers until the pain softens.

Give yourself time: Heartbreak isn’t instant; it slowly eases. Be patient with yourself and avoid self-blame.

If the sadness feels unbearable, persistent, or starts affecting your daily life significantly, speaking with a therapist or counselor can provide guidance and coping strategies.",8/20/2025 21:18,3,ChatGPT,male,"i m really sorry you re going through this. breakups can feel overwhelming because your brain is wired to focus on the person you were close to, so it s natural that you can t stop thinking about her right now. here are some ways to start easing that constant preoccupation: allow yourself to feel: suppressing sadness or anger can make it linger longer. cry, journal, or talk to a friend it s healthy to process your emotions. set gentle boundaries with your thoughts: when you catch yourself ruminating, try to redirect your mind to a small task, a walk, or even counting breaths for a minute. don t try to force yourself to stop thinking of her entirely; just practice noticing the thought and letting it pass. stay connected: lean on friends, family, or supportive communities. even casual social interaction can help break the cycle of constant thinking. keep routines and engage in activities: exercise, hobbies, or learning something new can redirect your energy and help your mind feel less stuck. limit triggers initially: if seeing her on social media or revisiting old messages keeps you stuck, it s okay to take a break from those triggers until the pain softens. give yourself time: heartbreak isn t instant; it slowly eases. be patient with yourself and avoid self blame. if the sadness feels unbearable, persistent, or starts affecting your daily life significantly, speaking with a therapist or counselor can provide guidance and coping strategies.",2.6,0.035,5,0,,245
